feature,importance
num__Feed_kg,0.7895096796569953
num__Milking_Time_min,0.16507078685161844
num__Temp_C,0.02248884013333188
num__Humidity,0.020438023835739574
cat__Cow_ID_C009,0.0005853535675096799
cat__Cow_ID_C008,0.00041819943400742886
cat__Cow_ID_C002,0.0003630745977477367
cat__Cow_ID_C004,0.000233774062137384
cat__Cow_ID_C007,0.00022663092762731629
cat__Cow_ID_C003,0.00021373404462125516
cat__Cow_ID_C006,0.00016278798454985135
cat__Cow_ID_C010,0.00012167371907447569
cat__Cow_ID_C005,9.058813468875164e-05
cat__Cow_ID_C001,7.685305035099397e-05
